INFO 2026-07-01 14:59:20,852 middleware 50088 52888 GET /api/auth/profile/ 200 0.011s [anonymous]
INFO 2026-07-01 14:59:20,855 middleware 50088 51088 GET /api/auth/profile/ 200 0.019s [anonymous]
INFO 2026-07-01 14:59:28,564 middleware 50088 51088 POST /api/auth/login/ 200 1.068s [anonymous]
INFO 2026-07-01 14:59:28,578 middleware 50088 51088 GET /api/auth/profile/ 200 0.009s [anonymous]
INFO 2026-07-01 14:59:28,646 middleware 50088 52888 GET /api/proposals/submissions/?page_size=1 200 0.019s [anonymous]
INFO 2026-07-01 14:59:28,648 middleware 50088 51088 GET /api/grants/opportunities/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 14:59:28,655 middleware 50088 57668 GET /api/budgets/financials/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 14:59:28,663 middleware 50088 57976 GET /api/notifications/alerts/unread_count/ 200 0.025s [anonymous]
INFO 2026-07-01 14:59:28,674 middleware 50088 58040 GET /api/proposals/submissions/?page_size=1 200 0.017s [anonymous]
INFO 2026-07-01 14:59:28,688 middleware 50088 52888 GET /api/grants/opportunities/?page_size=1 200 0.023s [anonymous]
INFO 2026-07-01 14:59:28,691 middleware 50088 51088 GET /api/budgets/financials/?page_size=1 200 0.027s [anonymous]
INFO 2026-07-01 14:59:28,696 middleware 50088 57976 GET /api/notifications/alerts/unread_count/ 200 0.021s [anonymous]
INFO 2026-07-01 14:59:30,934 middleware 50088 57976 GET /api/grants/opportunities/?page=1 200 0.009s [anonymous]
INFO 2026-07-01 14:59:31,895 middleware 50088 57976 GET /api/proposals/submissions/?page=1 200 0.008s [anonymous]
INFO 2026-07-01 15:04:59,012 middleware 48660 55616 GET /api/auth/profile/ 200 0.070s [anonymous]
INFO 2026-07-01 15:04:59,013 middleware 48660 2312 GET /api/auth/profile/ 200 0.069s [anonymous]
INFO 2026-07-01 15:05:06,024 middleware 48660 55616 GET /api/proposals/submissions/?page_size=1 200 0.017s [anonymous]
INFO 2026-07-01 15:05:06,027 middleware 48660 2312 GET /api/grants/opportunities/?page_size=1 200 0.023s [anonymous]
INFO 2026-07-01 15:05:06,032 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:06,040 middleware 48660 58840 GET /api/notifications/alerts/unread_count/ 200 0.027s [anonymous]
INFO 2026-07-01 15:05:06,058 middleware 48660 55616 GET /api/proposals/submissions/?page_size=1 200 0.021s [anonymous]
INFO 2026-07-01 15:05:06,067 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:06,070 middleware 48660 2312 GET /api/grants/opportunities/?page_size=1 200 0.028s [anonymous]
INFO 2026-07-01 15:05:06,075 middleware 48660 40528 GET /api/notifications/alerts/unread_count/ 200 0.022s [anonymous]
INFO 2026-07-01 15:05:09,498 middleware 48660 40528 GET /api/grants/opportunities/?page_size=1 200 0.017s [anonymous]
INFO 2026-07-01 15:05:09,507 middleware 48660 55616 GET /api/notifications/alerts/unread_count/ 200 0.022s [anonymous]
INFO 2026-07-01 15:05:09,510 middleware 48660 2312 GET /api/proposals/submissions/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:09,514 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.031s [anonymous]
INFO 2026-07-01 15:05:09,528 middleware 48660 40528 GET /api/grants/opportunities/?page_size=1 200 0.023s [anonymous]
INFO 2026-07-01 15:05:09,528 middleware 48660 55616 GET /api/notifications/alerts/unread_count/ 200 0.012s [anonymous]
INFO 2026-07-01 15:05:09,534 middleware 48660 58840 GET /api/budgets/financials/?page_size=1 200 0.014s [anonymous]
INFO 2026-07-01 15:05:09,541 middleware 48660 2312 GET /api/proposals/submissions/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:19,456 middleware 48660 2312 POST /api/auth/login/ 200 1.155s [anonymous]
INFO 2026-07-01 15:05:19,469 middleware 48660 2312 GET /api/auth/profile/ 200 0.010s [anonymous]
INFO 2026-07-01 15:05:19,517 middleware 48660 58840 GET /api/proposals/submissions/?page_size=1 200 0.021s [anonymous]
INFO 2026-07-01 15:05:19,518 middleware 48660 40528 GET /api/notifications/alerts/unread_count/ 200 0.015s [anonymous]
INFO 2026-07-01 15:05:19,529 middleware 48660 55616 GET /api/budgets/financials/?page_size=1 200 0.029s [anonymous]
INFO 2026-07-01 15:05:19,532 middleware 48660 2312 GET /api/grants/opportunities/?page_size=1 200 0.040s [anonymous]
INFO 2026-07-01 15:05:19,542 middleware 48660 58484 GET /api/proposals/submissions/?page_size=1 200 0.019s [anonymous]
INFO 2026-07-01 15:05:19,551 middleware 48660 40528 GET /api/notifications/alerts/unread_count/ 200 0.018s [anonymous]
INFO 2026-07-01 15:05:19,556 middleware 48660 55616 GET /api/budgets/financials/?page_size=1 200 0.020s [anonymous]
INFO 2026-07-01 15:05:19,561 middleware 48660 2312 GET /api/grants/opportunities/?page_size=1 200 0.017s [anonymous]
INFO 2026-07-01 15:05:21,541 middleware 48660 2312 GET /api/grants/opportunities/?page=1 200 0.010s [anonymous]
INFO 2026-07-01 15:05:22,375 middleware 48660 2312 GET /api/proposals/submissions/?page=1 200 0.004s [anonymous]
INFO 2026-07-01 15:05:22,877 middleware 48660 55616 GET /api/budgets/financials/?page=1 200 0.012s [anonymous]
INFO 2026-07-01 15:05:22,894 middleware 48660 55616 GET /api/budgets/financials/?page=1 200 0.010s [anonymous]
INFO 2026-07-01 15:05:26,058 middleware 48660 2312 GET /api/proposals/submissions/?page_size=1 200 0.022s [anonymous]
INFO 2026-07-01 15:05:26,059 middleware 48660 58484 GET /api/notifications/alerts/unread_count/ 200 0.019s [anonymous]
INFO 2026-07-01 15:05:26,061 middleware 48660 40528 GET /api/budgets/financials/?page_size=1 200 0.023s [anonymous]
INFO 2026-07-01 15:05:26,075 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.042s [anonymous]
INFO 2026-07-01 15:05:26,087 middleware 48660 2312 GET /api/proposals/submissions/?page_size=1 200 0.017s [anonymous]
INFO 2026-07-01 15:05:26,099 middleware 48660 58484 GET /api/notifications/alerts/unread_count/ 200 0.020s [anonymous]
INFO 2026-07-01 15:05:26,108 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.015s [anonymous]
INFO 2026-07-01 15:05:26,110 middleware 48660 40528 GET /api/budgets/financials/?page_size=1 200 0.021s [anonymous]
INFO 2026-07-01 15:05:28,874 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.012s [anonymous]
INFO 2026-07-01 15:05:28,878 middleware 48660 2312 GET /api/notifications/alerts/unread_count/ 200 0.013s [anonymous]
INFO 2026-07-01 15:05:28,883 middleware 48660 40528 GET /api/grants/opportunities/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 15:05:28,885 middleware 48660 55616 GET /api/proposals/submissions/?page_size=1 200 0.024s [anonymous]
INFO 2026-07-01 15:05:28,899 middleware 48660 58484 GET /api/budgets/financials/?page_size=1 200 0.013s [anonymous]
INFO 2026-07-01 15:05:28,907 middleware 48660 2312 GET /api/notifications/alerts/unread_count/ 200 0.017s [anonymous]
INFO 2026-07-01 15:05:28,920 middleware 48660 40528 GET /api/grants/opportunities/?page_size=1 200 0.023s [anonymous]
INFO 2026-07-01 15:05:28,922 middleware 48660 55616 GET /api/proposals/submissions/?page_size=1 200 0.018s [anonymous]
INFO 2026-07-01 15:05:31,647 middleware 48660 58484 GET /api/notifications/alerts/unread_count/ 200 0.017s [anonymous]
INFO 2026-07-01 15:05:31,650 middleware 48660 40528 GET /api/proposals/submissions/?page_size=1 200 0.016s [anonymous]
INFO 2026-07-01 15:05:31,655 middleware 48660 55616 GET /api/grants/opportunities/?page_size=1 200 0.027s [anonymous]
INFO 2026-07-01 15:05:31,655 middleware 48660 2312 GET /api/budgets/financials/?page_size=1 200 0.023s [anonymous]
INFO 2026-07-01 15:05:31,680 middleware 48660 40528 GET /api/proposals/submissions/?page_size=1 200 0.018s [anonymous]
INFO 2026-07-01 15:05:31,686 middleware 48660 58484 GET /api/notifications/alerts/unread_count/ 200 0.027s [anonymous]
INFO 2026-07-01 15:05:31,690 middleware 48660 58840 GET /api/budgets/financials/?page_size=1 200 0.018s [anonymous]
